nameGiven,starting_year,starting_team,ending_year,ending_team
John Chad,1999,MIN,2005,TEX
Cristian,1999,MIN,2010,WAS
Jacque Dewayne,1999,MIN,2008,DET
Michael George,1999,MIN,2010,CIN
Joseph Emerson,1999,MIN,2006,KCA
Daniel Lee,1999,MIN,1999,MIN
Geoffrey Edward,1999,MON,2012,ARI
James Darron,1999,MON,1999,MON
Guillermo,1999,MON,2012,SFN
Daniel Charles,1999,MON,2003,MON
Octavio Eduardo,1999,NYN,2013,DET
Vance Allen,1999,NYN,2006,DET
Ramon Jose,1999,OAK,2013,COL
Ramon Jose,1999,OAK,2013,LAN
Timothy Adam,1999,OAK,2014,SFG
Steven Wayne,1999,PHI,2000,PHI
Scott William,1999,PIT,2006,CLE
Wiklenman Vicente,1999,SDN,2006,WAS
Thomas Joseph,1999,SEA,2002,SDN
Gilbert Allen,1999,SEA,2010,KCA
Joseph Michael,1999,SFN,2014,DET
Adam Thomas,1999,SLN,2012,LAN
Jeffrey Ross,1999,TEX,2001,TEX
William Christopher,1999,TOR,2004,CHA
Vernon M.,1999,TOR,2013,NYA
Thomas Derrick,2000,ANA,2008,MIL
Luis,2000,ATL,2000,ATL
William Anthony,2000,BAL,2000,BAL
Kelly Douglas,2000,CHA,2005,LAN
Tarrik Jumaan,2000,CHN,2000,CHN
Daniel Bracy,2000,CHN,2000,CHN
Hector Luis,2000,CIN,2003,PHI
Mark J.,2000,DET,2000,DET
Matt Taylor,2000,MIL,2000,MIL
Johan Alexander,2000,MIN,2012,NYN
Kazuhiro,2000,SEA,2003,SEA
Richard Aaron,2000,SFN,2007,CLE
Benjamin Edward,2000,SFN,2005,CIN
Damian Michael,2000,TBA,2004,TBA
Larry Dewayne,2000,TOR,2013,CHA
David Mark,2001,ANA,2010,SDN
Scott,2001,ATL,2001,ATL
Jay Jonathan,2001,BAL,2011,LAN
Shea Matthew,2001,BOS,2007,LAA
Christopher Michael,2001,CIN,2007,SEA
Charles Brandon,2001,DET,2013,PIT
Anthony Michael,2001,KCA,2001,KCA
Jose Antonio,2001,LAN,2002,SDN
Scott Edward,2001,MON,2004,CLE
Christian Michael,2001,NYA,2001,NYA
Tsuyoshi,2001,NYN,2003,NYN
Edilberto,2001,PHI,2004,SDN
Joseph Ronald,2001,PIT,2014,SEA
Jack Eugene,2001,PIT,2012,ATL
Ichiro,2001,SEA,2014,NYA
Chad Martin,2001,SLN,2001,SLN
Jose Alberto,2001,SLN,2014,LAA
Ryan Paul,2001,TOR,2009,BAL
Luis Carlos,2002,BAL,2002,BAL
Michael Thomas,2002,BAL,2002,BAL
Jon Erich,2002,CHA,2013,MIA
Jeffrey Ellis,2002,DET,2002,DET
Terry Bobby Gene,2002,DET,2002,DET
Jeremy David,2002,KCA,2014,SFG
Kazuhisa,2002,LAN,2005,NYN
Takahito,2002,MIL,2002,MIL
Satoru,2002,NYN,2002,NYN
Carlos,2002,PHI,2010,CHN
Sean Patrick,2002,SDN,2012,MIN
Steven Patrick,2002,TBA,2002,TBA
Scott Robert,2002,TOR,2006,SDN
Eric Scott,2002,TOR,2013,ARI
Joseph Dudley,2002,TOR,2002,TOR
Oscar Eduardo,2003,ARI,2008,HOU
Jose,2003,BAL,2003,BAL
Javier Alfonso,2003,COL,2014,SFG
Jose Miguel,2003,FLO,2014,DET
Thomas Allen,2003,FLO,2005,MIL
Daniel,2003,KCA,2012,NYN
Rontrez DeMon,2003,KCA,2003,KCA
Matthew Lee,2003,MIL,2003,MIL
Luis Ignacio,2003,MON,2013,BAL
Ronald Isiah,2003,MON,2004,MON
Chase Cameron,2003,PHI,2014,PHI
Shane Patrick,2003,SDN,2014,BOS
Michael Seth,2003,TBA,2009,MIL
Mark Charles,2003,TEX,2014,NYA
Aquilino,2003,TOR,2008,DET
David Adam,2004,ATL,2014,WAS
Jose Antonio,2004,BAL,2014,TOR
Shingo,2004,CHA,2005,CHA
Michael James,2004,CHN,2011,OAK
Luis Alberto,2004,COL,2006,COL
David Jeffrey,2004,MIL,2009,ATL
Joseph Patrick,2004,MIN,2014,MIN
Terrmel,2004,MON,2007,SDN
Kazuo,2004,NYN,2010,HOU
Tyler Kali,2004,NYN,2009,PIT
Jose Rondon,2004,PIT,2008,SFN
Akinori,2004,SDN,2007,TEX
Jason Ernest,2004,SDN,2004,SDN
Simon Emilio,2004,TOR,2004,TOR
Tadahito,2005,CHA,2008,SDN
Jeffrey Glen,2005,COL,2014,MIA
Ryan Andrew,2005,COL,2009,COL
Cory,2005,COL,2010,HOU
Luke Brandon,2005,HOU,2013,TBA
Andrew Frank,2005,KCA,2007,CHA
Mark Thomas,2005,KCA,2011,CHA
Stephen John,2005,LAN,2005,LAN
James Jerry,2005,MIL,2014,BAL
Dae-Sung,2005,NYN,2005,NYN
Huston Lowell,2005,OAK,2014,SDN
Keiichi,2005,OAK,2008,SFN
Tony Hemiphere,2005,WAS,2005,WAS
Nicholas William,2006,BAL,2014,BAL
Sendy,2006,BAL,2006,BAL
Boone,2006,CHA,2014,COL
Sean Christopher,2006,CHN,2014,CIN
Angel Manuel,2006,CHN,2014,SFG
Joel Martin,2006,DET,2010,DET
Carlos Enrique,2006,FLO,2014,MIN
Daniel Cooley,2006,FLO,2014,ATL
Taylor,2006,HOU,2011,NYN
Fernando Alexis,2006,HOU,2010,NYN
Brian Patrick,2006,NYN,2010,KCA
Joshua LaRoy,2006,SDN,2009,CLE
Kenji,2006,SEA,2009,SEA
Jason Lee,2006,TBA,2006,TBA
Ruddy Joraider,2006,TBA,2007,TBA
Ian Michael,2006,TEX,2014,DET
Brian David,2007,ARI,2010,FLO
Daisuke,2007,BOS,2014,NYM
John William,2007,CHA,2014,CHA
Gustavo Eduardo,2007,CHA,2011,NYA
Levi Jared,2007,CIN,2014,MIN
Jonathan Thomas,2007,CIN,2007,CIN
Joshua Holt,2007,CIN,2014,LAA
Alejandro Alberto,2007,FLO,2014,CHA
Matthew Raymond,2007,FLO,2014,CHA
Alex Jonathan,2007,KCA,2014,KCA
Joseph Michael,2007,NYN,2014,LAA
Travis George,2007,OAK,2012,HOU
Ryan Dean,2007,PHI,2010,LAA
Donald Thomas,2007,PIT,2014,DET
Brandon John,2007,SEA,2014,TOR
Sean Thomas,2007,SEA,2010,SEA
Elijah David,2007,TBA,2009,WAS
Akinori,2007,TBA,2010,PIT
Jesus Miguel,2007,WAS,2012,WAS
Gregor Miguel,2008,ATL,2014,SFG
Randor,2008,BAL,2008,BAL
Alexei Fernando,2008,CHA,2014,CHA
Kosuke,2008,CHN,2012,CHA
Johnny,2008,CIN,2014,CIN
Masahide,2008,CLE,2009,CLE
Jayson Truitt Edward,2008,COL,2014,PHI
Dequam LaWesley,2008,HOU,2014,CHN
Matthew David,2008,KCA,2008,KCA
Darren Christopher,2008,LAA,2014,BAL
Hiroki,2008,LAN,2014,NYA
Christopher Matthew,2008,MIN,2011,MIN
Humberto A.,2008,NYA,2008,NYA
Fernando,2008,OAK,2008,OAK
Callix Sadeaq,2008,SDN,2008,SDN
Jose Carlos,2008,SDN,2008,SDN
Enrico Aliceno,2008,SLN,2008,SLN
Elliot Tyler,2008,TBA,2014,CLE
Kazuo,2008,TEX,2008,TEX
Kenshin,2009,ATL,2010,ATL
Jordan James,2009,ATL,2014,MIN
Koji,2009,BAL,2014,BOS
David Christopher,2009,CHN,2009,CHN
Frederick Alfred,2009,DET,2014,DET
Brian Matthew,2009,MIN,2014,MIN
Ramiro Gauna,2009,NYA,2014,ATL
Brett Franklin,2009,OAK,2014,COL
Andrew Scott,2009,OAK,2013,BOS
Trevor John,2009,OAK,2014,ARI
Landon Reed,2009,OAK,2011,OAK
Jason Cory,2009,PIT,2011,PIT
Donald Tyrone,2009,PIT,2014,CHA
Everth,2009,SDN,2014,SDN
Lucas John,2009,SDN,2014,OAK
Edwin A.,2009,SDN,2009,SDN
Walter,2009,SDN,2009,SDN
Shawn Andrew,2009,SEA,2014,NYA
David Richard,2009,SLN,2014,LAA
Colby Ryan,2009,SLN,2014,TOR
Elvis Augusto,2009,TEX,2014,TEX
Ricardo,2009,TOR,2013,TOR
Jordan,2010,ARI,2012,OAK
Jason Alias,2010,ATL,2014,ATL
Sergio Jose,2010,CHA,2014,TOR
James Clayton,2010,CHN,2014,CHN
Logan Jared,2010,CIN,2014,CIN
Austin Jarriel,2010,DET,2014,SEA
Carlos,2010,LAN,2010,LAN
Andrew Edward,2010,MIN,2014,LAN
Ruben Dario,2010,NYN,2014,NYM
Tyson William,2010,OAK,2014,SDN
Kenneth David,2010,PHI,2012,PHI
John Patrick,2010,PIT,2010,PIT
Kanekoa Jacob,2010,SEA,2011,KCA
Allen Thomas,2010,SLN,2014,BOS
Jesse Logan,2010,WAS,2010,WAS
Brayan Rene,2011,DET,2013,DET
Timothy Michael,2011,KCA,2014,KCA
Aaron James,2011,KCA,2014,KCA
Ivan,2011,LAN,2012,LAN
Bradley Mark,2011,NYN,2011,NYN
Michael John,2011,PIT,2011,PIT
Joshua Joel,2011,PIT,2011,PIT
Cedric Scott,2011,SDN,2011,SDN
Joshua William,2011,SEA,2014,TBA
Thomas Mark,2011,SEA,2014,SEA
Brandon Kyle,2011,SFN,2014,SFG
Christopher John,2011,SLN,2012,BOS
Mason Reed,2011,TEX,2011,TEX
Brian Michael,2011,WAS,2011,WAS
Tyler Brock,2012,ATL,2014,ATL
Wei-Yin,2012,BAL,2014,BAL
Ryan Edward,2012,BAL,2014,BAL
Lendy Enrique,2012,CHN,2012,CHN
Rhiner Allen,2012,HOU,2013,HOU
Marwin Javier,2012,HOU,2014,HOU
Norichika,2012,MIL,2014,KCA
Yoenis,2012,OAK,2014,OAK
Freddy Jose,2012,PHI,2014,PHI
Hisashi,2012,SEA,2014,SEA
Daniel Anthony,2012,SFN,2014,OAK
Erik Jordan,2012,SLN,2012,SLN
Stephen Guy,2012,TBA,2014,OAK
Sefat Farid Yu,2012,TEX,2014,TEX
Robert Charles,2012,TEX,2014,TEX
Timothy J.,2013,BAL,2014,BAL
Marcus Andrew,2013,CHA,2014,CHA
Kyuji,2013,CHN,2014,CHN
Hector Luis,2013,CHN,2014,CHN
Joshua David,2013,HOU,2014,HOU
Yasiel,2013,LAN,2014,LAN
Hyun-jin,2013,LAN,2014,LAN
Kyle Trent,2013,MIA,2013,MIA
Khristopher Adrian,2013,MIL,2014,MIL
Aaron Michael,2013,MIN,2014,MIN
David Lee,2013,NYA,2013,NYA
Scott Adam,2013,NYN,2014,NYM
Brandon Eugene,2013,SEA,2014,SEA
Leury,2013,TEX,2014,CHA
Joseph,2013,TEX,2013,TEX
Jose Dariel,2014,CHA,2014,CHA
Jonathan Lee,2014,HOU,2014,HOU
Alexander,2014,LAN,2014,LAN
Masahiro,2014,NYA,2014,NYA
Miguel Alfredo,2014,PHI,2014,PHI
