teamID,yearID,cumulative_sum_millions
NYN,1985,10
NYN,1986,26
NYN,1987,40
NYN,1988,55
NYN,1989,75
NYN,1990,96
NYN,1991,129
NYN,1992,174
NYN,1993,213
NYN,1994,244
NYN,1995,271
NYN,1996,296
NYN,1997,336
NYN,1998,388
NYN,1999,453
NYN,2000,532
NYN,2001,625
NYN,2002,720
NYN,2003,837
NYN,2004,934
NYN,2005,1035
NYN,2006,1136
NYN,2007,1251
NYN,2008,1389
NYN,2009,1538
NYN,2010,1673
NYN,2011,1792
NYN,2012,1885
NYN,2013,1934
NYN,2014,1965
OAK,1985,9
OAK,1986,18
OAK,1987,30
OAK,1988,40
OAK,1989,55
OAK,1990,75
OAK,1991,112
OAK,1992,153
OAK,1993,191
OAK,1994,225
OAK,1995,263
OAK,1996,284
OAK,1997,308
OAK,1998,330
OAK,1999,354
OAK,2000,386
OAK,2001,420
OAK,2002,460
OAK,2003,510
OAK,2004,569
OAK,2005,625
OAK,2006,687
OAK,2007,766
OAK,2008,814
OAK,2009,876
OAK,2010,932
OAK,2011,998
OAK,2012,1054
OAK,2013,1114
OAK,2014,1186
PHI,1985,10
PHI,1986,21
PHI,1987,33
PHI,1988,47
PHI,1989,57
PHI,1990,70
PHI,1991,93
PHI,1992,117
PHI,1993,146
PHI,1994,177
PHI,1995,208
PHI,1996,242
PHI,1997,279
PHI,1998,315
PHI,1999,347
PHI,2000,394
PHI,2001,436
PHI,2002,494
PHI,2003,565
PHI,2004,657
PHI,2005,753
PHI,2006,841
PHI,2007,931
PHI,2008,1029
PHI,2009,1142
PHI,2010,1284
PHI,2011,1457
PHI,2012,1631
PHI,2013,1801
PHI,2014,1982
PIT,1985,9
PIT,1986,20
PIT,1987,27
PIT,1988,33
PIT,1989,46
PIT,1990,62
PIT,1991,85
PIT,1992,119
PIT,1993,144
PIT,1994,168
PIT,1995,186
PIT,1996,210
PIT,1997,220
PIT,1998,235
PIT,1999,260
PIT,2000,289
PIT,2001,347
PIT,2002,389
PIT,2003,444
PIT,2004,476
PIT,2005,514
PIT,2006,561
PIT,2007,599
PIT,2008,648
PIT,2009,697
PIT,2010,732
PIT,2011,777
PIT,2012,840
PIT,2013,917
PIT,2014,994
SDN,1985,11
SDN,1986,22
SDN,1987,33
SDN,1988,43
SDN,1989,57
SDN,1990,74
SDN,1991,96
SDN,1992,123
SDN,1993,149
SDN,1994,164
SDN,1995,190
SDN,1996,218
SDN,1997,256
SDN,1998,303
SDN,1999,352
SDN,2000,407
SDN,2001,446
SDN,2002,488
SDN,2003,533
SDN,2004,589
SDN,2005,652
SDN,2006,722
SDN,2007,780
SDN,2008,853
SDN,2009,897
SDN,2010,935
SDN,2011,980
SDN,2012,1036
SDN,2013,1101
SDN,2014,1177
SEA,1985,4
SEA,1986,10
SEA,1987,12
SEA,1988,20
SEA,1989,29
SEA,1990,42
SEA,1991,58
SEA,1992,81
SEA,1993,114
SEA,1994,143
SEA,1995,179
SEA,1996,221
SEA,1997,262
SEA,1998,316
SEA,1999,370
SEA,2000,429
SEA,2001,504
SEA,2002,584
SEA,2003,671
SEA,2004,753
SEA,2005,841
SEA,2006,928
SEA,2007,1035
SEA,2008,1153
SEA,2009,1252
SEA,2010,1338
SEA,2011,1424
SEA,2012,1506
SEA,2013,1580
SEA,2014,1673
SFG,2014,143
SFN,1985,8
SFN,1986,17
SFN,1987,24
SFN,1988,36
SFN,1989,51
SFN,1990,71
SFN,1991,102
SFN,1992,135
SFN,1993,170
SFN,1994,212
SFN,1995,249
SFN,1996,286
SFN,1997,322
SFN,1998,364
SFN,1999,411
SFN,2000,465
SFN,2001,528
SFN,2002,606
SFN,2003,689
SFN,2004,771
SFN,2005,861
SFN,2006,951
SFN,2007,1041
SFN,2008,1118
SFN,2009,1201
SFN,2010,1300
SFN,2011,1418
SFN,2012,1536
SFN,2013,1676
SFN,2014,1696
SLN,1985,11
SLN,1986,21
SLN,1987,33
SLN,1988,46
SLN,1989,62
SLN,1990,82
SLN,1991,104
SLN,1992,132
SLN,1993,155
SLN,1994,185
SLN,1995,222
SLN,1996,262
SLN,1997,307
SLN,1998,362
SLN,1999,412
SLN,2000,473
SLN,2001,552
SLN,2002,626
SLN,2003,710
SLN,2004,793
SLN,2005,886
SLN,2006,974
SLN,2007,1065
SLN,2008,1164
SLN,2009,1253
SLN,2010,1346
SLN,2011,1452
SLN,2012,1562
SLN,2013,1654
SLN,2014,1775
TBA,1998,27
TBA,1999,66
TBA,2000,128
TBA,2001,185
TBA,2002,220
TBA,2003,239
TBA,2004,269
TBA,2005,299
TBA,2006,334
TBA,2007,358
TBA,2008,402
TBA,2009,465
TBA,2010,537
TBA,2011,578
TBA,2012,642
TBA,2013,695
TBA,2014,768
TEX,1985,7
TEX,1986,14
TEX,1987,15
TEX,1988,20
TEX,1989,32
TEX,1990,47
TEX,1991,65
TEX,1992,95
TEX,1993,132
TEX,1994,165
TEX,1995,199
TEX,1996,238
TEX,1997,292
TEX,1998,348
TEX,1999,425
TEX,2000,496
TEX,2001,584
TEX,2002,690
TEX,2003,793
TEX,2004,848
TEX,2005,904
TEX,2006,973
TEX,2007,1041
TEX,2008,1109
TEX,2009,1177
TEX,2010,1232
TEX,2011,1324
TEX,2012,1445
TEX,2013,1557
TEX,2014,1670
TOR,1985,8
TOR,1986,21
TOR,1987,31
TOR,1988,44
TOR,1989,60
TOR,1990,78
TOR,1991,98
TOR,1992,142
TOR,1993,190
TOR,1994,233
TOR,1995,284
TOR,1996,313
TOR,1997,360
TOR,1998,412
TOR,1999,457
TOR,2000,502
TOR,2001,579
TOR,2002,656
TOR,2003,707
TOR,2004,757
TOR,2005,803
TOR,2006,874
TOR,2007,956
TOR,2008,1054
TOR,2009,1134
TOR,2010,1197
TOR,2011,1259
TOR,2012,1334
TOR,2013,1460
TOR,2014,1570
WAS,2005,48
WAS,2006,111
WAS,2007,148
WAS,2008,203
WAS,2009,263
WAS,2010,324
WAS,2011,388
WAS,2012,469
WAS,2013,583
WAS,2014,715
